,a,aaa,aaa,c,d,end1
t_n$0.0-5.0,0.9932432432432432,1.0,0.30405405405405406,-0.31756756756756754,-0.9797297297297297,0.0
p_n$0.0,0.23255813953488372,0.8158914728682171,0.9341085271317829,-0.9534883720930233,-0.029069767441860465,0.0
tq_n$q4,0.0,1.7647058823529411,0.0,0.0,-0.7647058823529411,0.0
e_n-1$d,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
t_n-1$13.0-19.0,-0.7589285714285714,-0.9464285714285714,1.1205357142857142,0.8080357142857143,0.7767857142857143,0.0
tq_n-1$q3,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
e_n-1$d-+-t_n$0.0-5.0,0.0,1.0,0.0,0.0,0.0,0.0
e_n-1$d-+-p_n$0.0,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
e_n-1$d-+-tq_n$q4,0.0,1.0,0.0,0.0,0.0,0.0
e_n-1$d-+-t_n-1$13.0-19.0,0.0,0.022727272727272728,0.0,0.0,0.9772727272727273,0.0
e_n-1$d-+-p_n-1$0.0,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
e_n-1$d-+-tq_n-1$q3,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
e_n-1$d-+-t_n$0.0-5.0-+-t_n-1$13.0-19.0,0.0,1.0,0.0,0.0,0.0,0.0
e_n-1$d-+-p_n$0.0-+-p_n-1$0.0,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
e_n-1$d-+-tq_n$q4-+-tq_n-1$q3,0.0,1.0,0.0,0.0,0.0,0.0
e_n-1$d-+-e_n-2$d,0.0,0.0625,0.0,0.0,0.9375,0.0
e_n-1$d-+-e_n-2$d-+-t_n-1$13.0-19.0,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0
e_n-1$d-+-e_n-2$d-+-p_n-1$0.0,0.0,0.0625,0.0,0.0,0.9375,0.0
e_n-1$d-+-e_n-2$d-+-tq_n-1$q3,0.0,0.0625,0.0,0.0,0.9375,0.0
e_n-1$d-+-t_n-1$13.0-19.0-+-t_n-2$13.0-19.0,0.0,0.03571428571428571,0.0,0.0,0.9642857142857143,0.0
e_n-1$d-+-p_n-1$0.0-+-p_n-2$0.0,0.0,0.9705882352941176,0.0,-0.9558823529411765,0.9852941176470589,0.0
